time,crime
1/1/2019,"LARCENY-ALL OTHER $500 - $24,999"
1/1/2019,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE
1/1/2019,WEAPONS-CITY VIOL/DISCHRGING IN CITY
1/1/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/1/2019,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE
1/1/2019,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
1/1/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/1/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/1/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/1/2019,PUBLIC ORDER-TRESPASSING
1/1/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/1/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/1/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/1/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/1/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/1/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/1/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/1/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/1/2019,SIMPLE ASSAULT-ADULT/NO INJURY
1/1/2019,SIMPLE ASSAULT-ADULT/NO INJURY
1/1/2019,LARCENY-FROM BUILDING UNDER $500
1/1/2019,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
1/1/2019,LARCENY-FROM BUILDING UNDER $500
1/1/2019,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
1/1/2019,LARCENY-FROM MTR VEH UNDER $500
1/1/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/1/2019,RAPE -- FORCIBLE
1/1/2019,WEAPONS-CITY VIOL/DISCHRGING IN CITY
1/1/2019,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 3RD DEGRE"
1/1/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/1/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/1/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/1/2019,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
1/1/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/1/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/1/2019,LARCENY-FROM BUILDING UNDER $500
1/1/2019,LARCENY-FROM BUILDING UNDER $500
1/1/2019,LEAVING SCENE OF ACCIDENT
1/1/2019,LARCENY-SHOPLIFT UNDER $500
1/1/2019,SIMPLE ASSAULT-ADULT/NO INJURY
1/1/2019,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE
1/1/2019,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY
